No,코드,세부 코드,시트 링크,최종 소개서,키워드 구분,과정 명,권장 대상,AX 단계,소요 시간,작성자,대표 사례,레퍼런스 기업,업종,교육대상,제작년도,소개서,상세 키워드,추가 제안,사업 url,비고
296,--,---252,,,,,,,0,,,,,,,,,,,
297,--,---253,,,,,,,0,,,,,,,,,,,
298,--,---254,,,,,,,0,,,,,,,,,,,
299,--,---255,,,,,,,0,,,,,,,,,,,
300,--,---256,,,,,,,0,,,,,,,,,,,
301,--,---257,,,,,,,0,,,,,,,,,,,
302,--,---258,,,,,,,0,,,,,,,,,,,
303,--,---259,,,,,,,0,,,,,,,,,,,
304,--,---260,,,,,,,0,,,,,,,,,,,
305,--,---261,,,,,,,0,,,,,,,,,,,
306,--,---262,,,,,,,0,,,,,,,,,,,
307,--,---263,,,,,,,0,,,,,,,,,,,
308,--,---264,,,,,,,0,,,,,,,,,,,
309,--,---265,,,,,,,0,,,,,,,,,,,
310,--,---266,,,,,,,0,,,,,,,,,,,
311,--,---267,,,,,,,0,,,,,,,,,,,
312,--,---268,,,,,,,0,,,,,,,,,,,
313,--,---269,,,,,,,0,,,,,,,,,,,
314,--,---270,,,,,,,0,,,,,,,,,,,
315,--,---271,,,,,,,0,,,,,,,,,,,
316,--,---272,,,,,,,0,,,,,,,,,,,
317,--,---273,,,,,,,0,,,,,,,,,,,
318,--,---274,,,,,,,0,,,,,,,,,,,
319,--,---275,,,,,,,0,,,,,,,,,,,
320,--,---276,,,,,,,0,,,,,,,,,,,
321,--,---277,,,,,,,0,,,,,,,,,,,
322,--,---278,,,,,,,0,,,,,,,,,,,
323,--,---279,,,,,,,0,,,,,,,,,,,
324,--,---280,,,,,,,0,,,,,,,,,,,
325,--,---281,,,,,,,0,,,,,,,,,,,
326,--,---282,,,,,,,0,,,,,,,,,,,
327,--,---283,,,,,,,0,,,,,,,,,,,
328,--,---284,,,,,,,0,,,,,,,,,,,
329,--,---285,,,,,,,0,,,,,,,,,,,
330,--,---286,,,,,,,0,,,,,,,,,,,
331,--,---287,,,,,,,0,,,,,,,,,,,
332,--,---288,,,,,,,0,,,,,,,,,,,
333,--,---289,,,,,,,0,,,,,,,,,,,
334,--,---290,,,,,,,0,,,,,,,,,,,
335,--,---291,,,,,,,0,,,,,,,,,,,
336,--,---292,,,,,,,0,,,,,,,,,,,
337,--,---293,,,,,,,0,,,,,,,,,,,
338,--,---294,,,,,,,0,,,,,,,,,,,
339,--,---295,,,,,,,0,,,,,,,,,,,
340,--,---296,,,,,,,0,,,,,,,,,,,
341,--,---297,,,,,,,0,,,,,,,,,,,
342,--,---298,,,,,,,0,,,,,,,,,,,
343,--,---299,,,,,,,0,,,,,,,,,,,
344,--,---300,,,,,,,0,,,,,,,,,,,
345,--,---301,,,,,,,0,,,,,,,,,,,
346,--,---302,,,,,,,0,,,,,,,,,,,
347,--,---303,,,,,,,0,,,,,,,,,,,
348,--,---304,,,,,,,0,,,,,,,,,,,
349,--,---305,,,,,,,0,,,,,,,,,,,
350,--,---306,,,,,,,0,,,,,,,,,,,
351,--,---307,,,,,,,0,,,,,,,,,,,
352,--,---308,,,,,,,0,,,,,,,,,,,
353,--,---309,,,,,,,0,,,,,,,,,,,
354,--,---310,,,,,,,0,,,,,,,,,,,
355,--,---311,,,,,,,0,,,,,,,,,,,
356,--,---312,,,,,,,0,,,,,,,,,,,
357,--,---313,,,,,,,0,,,,,,,,,,,
358,--,---314,,,,,,,0,,,,,,,,,,,
359,--,---315,,,,,,,0,,,,,,,,,,,
360,--,---316,,,,,,,0,,,,,,,,,,,
361,--,---317,,,,,,,0,,,,,,,,,,,
362,--,---318,,,,,,,0,,,,,,,,,,,
363,--,---319,,,,,,,0,,,,,,,,,,,
364,--,---320,,,,,,,0,,,,,,,,,,,
365,--,---321,,,,,,,0,,,,,,,,,,,
366,--,---322,,,,,,,0,,,,,,,,,,,
367,--,---323,,,,,,,0,,,,,,,,,,,
368,--,---324,,,,,,,0,,,,,,,,,,,
369,--,---325,,,,,,,0,,,,,,,,,,,
370,--,---326,,,,,,,0,,,,,,,,,,,
371,--,---327,,,,,,,0,,,,,,,,,,,
372,--,---328,,,,,,,0,,,,,,,,,,,
373,--,---329,,,,,,,0,,,,,,,,,,,
374,--,---330,,,,,,,0,,,,,,,,,,,
375,--,---331,,,,,,,0,,,,,,,,,,,
376,--,---332,,,,,,,0,,,,,,,,,,,
377,--,---333,,,,,,,0,,,,,,,,,,,
378,--,---334,,,,,,,0,,,,,,,,,,,
379,--,---335,,,,,,,0,,,,,,,,,,,
380,--,---336,,,,,,,0,,,,,,,,,,,
381,--,---337,,,,,,,0,,,,,,,,,,,
382,--,---338,,,,,,,0,,,,,,,,,,,
383,--,---339,,,,,,,0,,,,,,,,,,,
384,--,---340,,,,,,,0,,,,,,,,,,,
385,--,---341,,,,,,,0,,,,,,,,,,,
386,--,---342,,,,,,,0,,,,,,,,,,,
387,--,---343,,,,,,,0,,,,,,,,,,,
388,--,---344,,,,,,,0,,,,,,,,,,,
389,--,---345,,,,,,,0,,,,,,,,,,,
390,--,---346,,,,,,,0,,,,,,,,,,,
391,--,---347,,,,,,,0,,,,,,,,,,,
392,--,---348,,,,,,,0,,,,,,,,,,,
393,--,---349,,,,,,,0,,,,,,,,,,,
394,--,---350,,,,,,,0,,,,,,,,,,,
395,--,---351,,,,,,,0,,,,,,,,,,,
396,--,---352,,,,,,,0,,,,,,,,,,,
397,--,---353,,,,,,,0,,,,,,,,,,,
398,--,---354,,,,,,,0,,,,,,,,,,,
399,--,---355,,,,,,,0,,,,,,,,,,,
400,--,---356,,,,,,,0,,,,,,,,,,,
401,--,---357,,,,,,,0,,,,,,,,,,,
402,--,---358,,,,,,,0,,,,,,,,,,,
403,--,---359,,,,,,,0,,,,,,,,,,,
404,--,---360,,,,,,,0,,,,,,,,,,,
405,--,---361,,,,,,,0,,,,,,,,,,,
406,--,---362,,,,,,,0,,,,,,,,,,,
407,--,---363,,,,,,,0,,,,,,,,,,,
408,--,---364,,,,,,,0,,,,,,,,,,,
409,--,---365,,,,,,,0,,,,,,,,,,,
410,--,---366,,,,,,,0,,,,,,,,,,,
411,--,---367,,,,,,,0,,,,,,,,,,,
412,--,---368,,,,,,,0,,,,,,,,,,,
413,--,---369,,,,,,,0,,,,,,,,,,,
414,--,---370,,,,,,,0,,,,,,,,,,,
415,--,---371,,,,,,,0,,,,,,,,,,,
416,--,---372,,,,,,,0,,,,,,,,,,,
417,--,---373,,,,,,,0,,,,,,,,,,,
418,--,---374,,,,,,,0,,,,,,,,,,,
419,--,---375,,,,,,,0,,,,,,,,,,,
420,--,---376,,,,,,,0,,,,,,,,,,,
421,--,---377,,,,,,,0,,,,,,,,,,,
422,--,---378,,,,,,,0,,,,,,,,,,,
423,--,---379,,,,,,,0,,,,,,,,,,,
424,--,---380,,,,,,,0,,,,,,,,,,,
425,--,---381,,,,,,,0,,,,,,,,,,,
426,--,---382,,,,,,,0,,,,,,,,,,,
427,--,---383,,,,,,,0,,,,,,,,,,,
428,--,---384,,,,,,,0,,,,,,,,,,,
429,--,---385,,,,,,,0,,,,,,,,,,,
430,--,---386,,,,,,,0,,,,,,,,,,,
431,--,---387,,,,,,,0,,,,,,,,,,,
432,--,---388,,,,,,,0,,,,,,,,,,,
433,--,---389,,,,,,,0,,,,,,,,,,,
434,--,---390,,,,,,,0,,,,,,,,,,,
435,--,---391,,,,,,,0,,,,,,,,,,,
436,--,---392,,,,,,,0,,,,,,,,,,,
437,--,---393,,,,,,,0,,,,,,,,,,,
438,--,---394,,,,,,,0,,,,,,,,,,,
439,--,---395,,,,,,,0,,,,,,,,,,,
440,--,---396,,,,,,,0,,,,,,,,,,,
441,--,---397,,,,,,,0,,,,,,,,,,,
442,--,---398,,,,,,,0,,,,,,,,,,,
443,--,---399,,,,,,,0,,,,,,,,,,,
444,--,---400,,,,,,,0,,,,,,,,,,,
445,--,---401,,,,,,,0,,,,,,,,,,,
446,--,---402,,,,,,,0,,,,,,,,,,,
447,--,---403,,,,,,,0,,,,,,,,,,,
448,--,---404,,,,,,,0,,,,,,,,,,,
449,--,---405,,,,,,,0,,,,,,,,,,,
450,--,---406,,,,,,,0,,,,,,,,,,,
451,--,---407,,,,,,,0,,,,,,,,,,,
452,--,---408,,,,,,,0,,,,,,,,,,,
453,--,---409,,,,,,,0,,,,,,,,,,,
454,--,---410,,,,,,,0,,,,,,,,,,,
455,--,---411,,,,,,,0,,,,,,,,,,,
456,--,---412,,,,,,,0,,,,,,,,,,,
457,--,---413,,,,,,,0,,,,,,,,,,,
458,--,---414,,,,,,,0,,,,,,,,,,,
459,--,---415,,,,,,,0,,,,,,,,,,,
460,--,---416,,,,,,,0,,,,,,,,,,,
461,--,---417,,,,,,,0,,,,,,,,,,,
462,--,---418,,,,,,,0,,,,,,,,,,,
463,--,---419,,,,,,,0,,,,,,,,,,,
464,--,---420,,,,,,,0,,,,,,,,,,,
465,--,---421,,,,,,,0,,,,,,,,,,,
466,--,---422,,,,,,,0,,,,,,,,,,,
467,--,---423,,,,,,,0,,,,,,,,,,,
468,--,---424,,,,,,,0,,,,,,,,,,,
469,--,---425,,,,,,,0,,,,,,,,,,,
470,--,---426,,,,,,,0,,,,,,,,,,,
471,--,---427,,,,,,,0,,,,,,,,,,,
472,--,---428,,,,,,,0,,,,,,,,,,,
473,--,---429,,,,,,,0,,,,,,,,,,,
474,--,---430,,,,,,,0,,,,,,,,,,,
475,--,---431,,,,,,,0,,,,,,,,,,,
476,--,---432,,,,,,,0,,,,,,,,,,,
477,--,---433,,,,,,,0,,,,,,,,,,,
478,--,---434,,,,,,,0,,,,,,,,,,,
479,--,---435,,,,,,,0,,,,,,,,,,,
480,--,---436,,,,,,,0,,,,,,,,,,,
481,--,---437,,,,,,,0,,,,,,,,,,,
482,--,---438,,,,,,,0,,,,,,,,,,,
483,--,---439,,,,,,,0,,,,,,,,,,,
484,--,---440,,,,,,,0,,,,,,,,,,,
485,--,---441,,,,,,,0,,,,,,,,,,,
486,--,---442,,,,,,,0,,,,,,,,,,,
487,--,---443,,,,,,,0,,,,,,,,,,,
488,--,---444,,,,,,,0,,,,,,,,,,,
489,--,---445,,,,,,,0,,,,,,,,,,,
490,--,---446,,,,,,,0,,,,,,,,,,,
491,--,---447,,,,,,,0,,,,,,,,,,,
492,--,---448,,,,,,,0,,,,,,,,,,,
493,--,---449,,,,,,,0,,,,,,,,,,,
494,--,---450,,,,,,,0,,,,,,,,,,,
495,--,---451,,,,,,,0,,,,,,,,,,,
496,--,---452,,,,,,,0,,,,,,,,,,,
497,--,---453,,,,,,,0,,,,,,,,,,,
498,--,---454,,,,,,,0,,,,,,,,,,,
499,--,---455,,,,,,,0,,,,,,,,,,,
500,--,---456,,,,,,,0,,,,,,,,,,,
501,--,---457,,,,,,,0,,,,,,,,,,,
502,--,---458,,,,,,,0,,,,,,,,,,,
503,--,---459,,,,,,,0,,,,,,,,,,,
504,--,---460,,,,,,,0,,,,,,,,,,,
505,--,---461,,,,,,,0,,,,,,,,,,,
506,--,---462,,,,,,,0,,,,,,,,,,,
507,--,---463,,,,,,,0,,,,,,,,,,,
508,--,---464,,,,,,,0,,,,,,,,,,,
509,--,---465,,,,,,,0,,,,,,,,,,,
510,--,---466,,,,,,,0,,,,,,,,,,,
511,--,---467,,,,,,,0,,,,,,,,,,,
512,--,---468,,,,,,,0,,,,,,,,,,,
513,--,---469,,,,,,,0,,,,,,,,,,,
514,--,---470,,,,,,,0,,,,,,,,,,,
515,--,---471,,,,,,,0,,,,,,,,,,,
516,--,---472,,,,,,,0,,,,,,,,,,,
517,--,---473,,,,,,,0,,,,,,,,,,,
518,--,---474,,,,,,,0,,,,,,,,,,,
519,--,---475,,,,,,,0,,,,,,,,,,,
520,--,---476,,,,,,,0,,,,,,,,,,,
521,--,---477,,,,,,,0,,,,,,,,,,,
522,--,---478,,,,,,,0,,,,,,,,,,,
523,--,---479,,,,,,,0,,,,,,,,,,,
524,--,---480,,,,,,,0,,,,,,,,,,,
525,--,---481,,,,,,,0,,,,,,,,,,,
526,--,---482,,,,,,,0,,,,,,,,,,,
527,--,---483,,,,,,,0,,,,,,,,,,,
528,--,---484,,,,,,,0,,,,,,,,,,,
529,--,---485,,,,,,,0,,,,,,,,,,,
530,--,---486,,,,,,,0,,,,,,,,,,,
531,--,---487,,,,,,,0,,,,,,,,,,,
532,--,---488,,,,,,,0,,,,,,,,,,,
533,--,---489,,,,,,,0,,,,,,,,,,,
534,--,---490,,,,,,,0,,,,,,,,,,,
535,--,---491,,,,,,,0,,,,,,,,,,,
536,--,---492,,,,,,,0,,,,,,,,,,,
537,--,---493,,,,,,,0,,,,,,,,,,,
538,--,---494,,,,,,,0,,,,,,,,,,,
539,--,---495,,,,,,,0,,,,,,,,,,,
540,--,---496,,,,,,,0,,,,,,,,,,,
541,--,---497,,,,,,,0,,,,,,,,,,,
542,--,---498,,,,,,,0,,,,,,,,,,,
543,--,---499,,,,,,,0,,,,,,,,,,,
544,--,---500,,,,,,,0,,,,,,,,,,,
545,--,---501,,,,,,,0,,,,,,,,,,,
546,--,---502,,,,,,,0,,,,,,,,,,,
547,--,---503,,,,,,,0,,,,,,,,,,,
548,--,---504,,,,,,,0,,,,,,,,,,,
549,--,---505,,,,,,,0,,,,,,,,,,,
550,--,---506,,,,,,,0,,,,,,,,,,,
551,--,---507,,,,,,,0,,,,,,,,,,,
552,--,---508,,,,,,,0,,,,,,,,,,,
553,--,---509,,,,,,,0,,,,,,,,,,,
554,--,---510,,,,,,,0,,,,,,,,,,,
555,--,---511,,,,,,,0,,,,,,,,,,,
556,--,---512,,,,,,,0,,,,,,,,,,,
557,--,---513,,,,,,,0,,,,,,,,,,,
558,--,---514,,,,,,,0,,,,,,,,,,,
559,--,---515,,,,,,,0,,,,,,,,,,,
560,--,---516,,,,,,,0,,,,,,,,,,,
561,--,---517,,,,,,,0,,,,,,,,,,,
562,--,---518,,,,,,,0,,,,,,,,,,,
563,--,---519,,,,,,,0,,,,,,,,,,,
564,--,---520,,,,,,,0,,,,,,,,,,,
565,--,---521,,,,,,,0,,,,,,,,,,,
566,--,---522,,,,,,,0,,,,,,,,,,,
567,--,---523,,,,,,,0,,,,,,,,,,,
568,--,---524,,,,,,,0,,,,,,,,,,,
569,--,---525,,,,,,,0,,,,,,,,,,,
570,--,---526,,,,,,,0,,,,,,,,,,,
571,--,---527,,,,,,,0,,,,,,,,,,,
572,--,---528,,,,,,,0,,,,,,,,,,,
573,--,---529,,,,,,,0,,,,,,,,,,,
574,--,---530,,,,,,,0,,,,,,,,,,,
575,--,---531,,,,,,,0,,,,,,,,,,,
576,--,---532,,,,,,,0,,,,,,,,,,,
577,--,---533,,,,,,,0,,,,,,,,,,,
578,--,---534,,,,,,,0,,,,,,,,,,,
579,--,---535,,,,,,,0,,,,,,,,,,,
580,--,---536,,,,,,,0,,,,,,,,,,,
581,--,---537,,,,,,,0,,,,,,,,,,,
582,--,---538,,,,,,,0,,,,,,,,,,,
583,--,---539,,,,,,,0,,,,,,,,,,,
584,--,---540,,,,,,,0,,,,,,,,,,,
585,--,---541,,,,,,,0,,,,,,,,,,,
586,--,---542,,,,,,,0,,,,,,,,,,,
587,--,---543,,,,,,,0,,,,,,,,,,,
588,--,---544,,,,,,,0,,,,,,,,,,,
589,--,---545,,,,,,,0,,,,,,,,,,,
590,--,---546,,,,,,,0,,,,,,,,,,,
591,--,---547,,,,,,,0,,,,,,,,,,,
592,--,---548,,,,,,,0,,,,,,,,,,,
593,--,---549,,,,,,,0,,,,,,,,,,,
594,--,---550,,,,,,,0,,,,,,,,,,,
595,--,---551,,,,,,,0,,,,,,,,,,,
596,--,---552,,,,,,,0,,,,,,,,,,,
597,--,---553,,,,,,,0,,,,,,,,,,,
598,--,---554,,,,,,,0,,,,,,,,,,,
599,--,---555,,,,,,,0,,,,,,,,,,,
600,--,---556,,,,,,,0,,,,,,,,,,,
601,--,---557,,,,,,,0,,,,,,,,,,,
602,--,---558,,,,,,,0,,,,,,,,,,,
603,--,---559,,,,,,,0,,,,,,,,,,,
604,--,---560,,,,,,,0,,,,,,,,,,,
605,--,---561,,,,,,,0,,,,,,,,,,,
606,--,---562,,,,,,,0,,,,,,,,,,,
607,--,---563,,,,,,,0,,,,,,,,,,,
608,--,---564,,,,,,,0,,,,,,,,,,,
609,--,---565,,,,,,,0,,,,,,,,,,,
610,--,---566,,,,,,,0,,,,,,,,,,,
611,--,---567,,,,,,,0,,,,,,,,,,,
612,--,---568,,,,,,,0,,,,,,,,,,,
613,--,---569,,,,,,,0,,,,,,,,,,,
614,--,---570,,,,,,,0,,,,,,,,,,,
615,--,---571,,,,,,,0,,,,,,,,,,,
616,--,---572,,,,,,,0,,,,,,,,,,,
617,--,---573,,,,,,,0,,,,,,,,,,,
618,--,---574,,,,,,,0,,,,,,,,,,,
619,--,---575,,,,,,,0,,,,,,,,,,,
620,--,---576,,,,,,,0,,,,,,,,,,,
621,--,---577,,,,,,,0,,,,,,,,,,,
622,--,---578,,,,,,,0,,,,,,,,,,,
623,--,---579,,,,,,,0,,,,,,,,,,,
624,--,---580,,,,,,,0,,,,,,,,,,,
625,--,---581,,,,,,,0,,,,,,,,,,,
626,--,---582,,,,,,,0,,,,,,,,,,,
627,--,---583,,,,,,,0,,,,,,,,,,,
628,--,---584,,,,,,,0,,,,,,,,,,,
629,--,---585,,,,,,,0,,,,,,,,,,,
630,--,---586,,,,,,,0,,,,,,,,,,,
631,--,---587,,,,,,,0,,,,,,,,,,,
632,--,---588,,,,,,,0,,,,,,,,,,,
633,--,---589,,,,,,,0,,,,,,,,,,,
634,--,---590,,,,,,,0,,,,,,,,,,,
635,--,---591,,,,,,,0,,,,,,,,,,,
636,--,---592,,,,,,,0,,,,,,,,,,,
637,--,---593,,,,,,,0,,,,,,,,,,,
638,--,---594,,,,,,,0,,,,,,,,,,,
639,--,---595,,,,,,,0,,,,,,,,,,,
640,--,---596,,,,,,,0,,,,,,,,,,,
641,--,---597,,,,,,,0,,,,,,,,,,,
642,--,---598,,,,,,,0,,,,,,,,,,,
643,--,---599,,,,,,,0,,,,,,,,,,,
644,--,---600,,,,,,,0,,,,,,,,,,,
645,--,---601,,,,,,,0,,,,,,,,,,,
646,--,---602,,,,,,,0,,,,,,,,,,,
647,--,---603,,,,,,,0,,,,,,,,,,,
648,--,---604,,,,,,,0,,,,,,,,,,,
649,--,---605,,,,,,,0,,,,,,,,,,,
650,--,---606,,,,,,,0,,,,,,,,,,,
651,--,---607,,,,,,,0,,,,,,,,,,,
652,--,---608,,,,,,,0,,,,,,,,,,,
653,--,---609,,,,,,,0,,,,,,,,,,,
654,--,---610,,,,,,,0,,,,,,,,,,,
655,--,---611,,,,,,,0,,,,,,,,,,,
656,--,---612,,,,,,,0,,,,,,,,,,,
657,--,---613,,,,,,,0,,,,,,,,,,,
658,--,---614,,,,,,,0,,,,,,,,,,,
659,--,---615,,,,,,,0,,,,,,,,,,,
660,--,---616,,,,,,,0,,,,,,,,,,,
661,--,---617,,,,,,,0,,,,,,,,,,,
662,--,---618,,,,,,,0,,,,,,,,,,,
663,--,---619,,,,,,,0,,,,,,,,,,,
664,--,---620,,,,,,,0,,,,,,,,,,,
665,--,---621,,,,,,,0,,,,,,,,,,,
666,--,---622,,,,,,,0,,,,,,,,,,,
667,--,---623,,,,,,,0,,,,,,,,,,,
668,--,---624,,,,,,,0,,,,,,,,,,,
669,--,---625,,,,,,,0,,,,,,,,,,,
670,--,---626,,,,,,,0,,,,,,,,,,,
671,--,---627,,,,,,,0,,,,,,,,,,,
672,--,---628,,,,,,,0,,,,,,,,,,,
673,--,---629,,,,,,,0,,,,,,,,,,,
674,--,---630,,,,,,,0,,,,,,,,,,,
675,--,---631,,,,,,,0,,,,,,,,,,,
676,--,---632,,,,,,,0,,,,,,,,,,,
677,--,---633,,,,,,,0,,,,,,,,,,,
678,--,---634,,,,,,,0,,,,,,,,,,,
679,--,---635,,,,,,,0,,,,,,,,,,,
680,--,---636,,,,,,,0,,,,,,,,,,,
681,--,---637,,,,,,,0,,,,,,,,,,,
682,--,---638,,,,,,,0,,,,,,,,,,,
683,--,---639,,,,,,,0,,,,,,,,,,,
684,--,---640,,,,,,,0,,,,,,,,,,,
685,--,---641,,,,,,,0,,,,,,,,,,,
686,--,---642,,,,,,,0,,,,,,,,,,,
687,--,---643,,,,,,,0,,,,,,,,,,,
688,--,---644,,,,,,,0,,,,,,,,,,,
689,--,---645,,,,,,,0,,,,,,,,,,,
690,--,---646,,,,,,,0,,,,,,,,,,,
691,--,---647,,,,,,,0,,,,,,,,,,,
692,--,---648,,,,,,,0,,,,,,,,,,,
693,--,---649,,,,,,,0,,,,,,,,,,,
694,--,---650,,,,,,,0,,,,,,,,,,,
695,--,---651,,,,,,,0,,,,,,,,,,,
696,--,---652,,,,,,,0,,,,,,,,,,,
697,--,---653,,,,,,,0,,,,,,,,,,,
698,--,---654,,,,,,,0,,,,,,,,,,,
699,--,---655,,,,,,,0,,,,,,,,,,,
700,--,---656,,,,,,,0,,,,,,,,,,,
701,--,---657,,,,,,,0,,,,,,,,,,,
702,--,---658,,,,,,,0,,,,,,,,,,,
703,--,---659,,,,,,,0,,,,,,,,,,,
704,--,---660,,,,,,,0,,,,,,,,,,,
705,--,---661,,,,,,,0,,,,,,,,,,,
706,--,---662,,,,,,,0,,,,,,,,,,,
707,--,---663,,,,,,,0,,,,,,,,,,,
708,--,---664,,,,,,,0,,,,,,,,,,,
709,--,---665,,,,,,,0,,,,,,,,,,,
710,--,---666,,,,,,,0,,,,,,,,,,,
711,--,---667,,,,,,,0,,,,,,,,,,,
712,--,---668,,,,,,,0,,,,,,,,,,,
713,--,---669,,,,,,,0,,,,,,,,,,,
714,--,---670,,,,,,,0,,,,,,,,,,,
715,--,---671,,,,,,,0,,,,,,,,,,,
716,--,---672,,,,,,,0,,,,,,,,,,,
717,--,---673,,,,,,,0,,,,,,,,,,,
718,--,---674,,,,,,,0,,,,,,,,,,,
719,--,---675,,,,,,,0,,,,,,,,,,,
720,--,---676,,,,,,,0,,,,,,,,,,,
721,--,---677,,,,,,,0,,,,,,,,,,,
722,--,---678,,,,,,,0,,,,,,,,,,,
723,--,---679,,,,,,,0,,,,,,,,,,,
724,--,---680,,,,,,,0,,,,,,,,,,,
725,--,---681,,,,,,,0,,,,,,,,,,,
726,--,---682,,,,,,,0,,,,,,,,,,,
727,--,---683,,,,,,,0,,,,,,,,,,,
728,--,---684,,,,,,,0,,,,,,,,,,,
729,--,---685,,,,,,,0,,,,,,,,,,,
730,--,---686,,,,,,,0,,,,,,,,,,,
731,--,---687,,,,,,,0,,,,,,,,,,,
732,--,---688,,,,,,,0,,,,,,,,,,,
733,--,---689,,,,,,,0,,,,,,,,,,,
734,--,---690,,,,,,,0,,,,,,,,,,,
735,--,---691,,,,,,,0,,,,,,,,,,,
736,--,---692,,,,,,,0,,,,,,,,,,,
737,--,---693,,,,,,,0,,,,,,,,,,,
738,--,---694,,,,,,,0,,,,,,,,,,,
739,--,---695,,,,,,,0,,,,,,,,,,,
740,--,---696,,,,,,,0,,,,,,,,,,,
741,--,---697,,,,,,,0,,,,,,,,,,,
742,--,---698,,,,,,,0,,,,,,,,,,,
743,--,---699,,,,,,,0,,,,,,,,,,,
744,--,---700,,,,,,,0,,,,,,,,,,,
745,--,---701,,,,,,,0,,,,,,,,,,,
746,--,---702,,,,,,,0,,,,,,,,,,,
747,--,---703,,,,,,,0,,,,,,,,,,,
748,--,---704,,,,,,,0,,,,,,,,,,,
749,--,---705,,,,,,,0,,,,,,,,,,,
750,--,---706,,,,,,,0,,,,,,,,,,,
751,--,---707,,,,,,,0,,,,,,,,,,,
752,--,---708,,,,,,,0,,,,,,,,,,,
753,--,---709,,,,,,,0,,,,,,,,,,,
754,--,---710,,,,,,,0,,,,,,,,,,,
755,--,---711,,,,,,,0,,,,,,,,,,,
756,--,---712,,,,,,,0,,,,,,,,,,,
757,--,---713,,,,,,,0,,,,,,,,,,,
758,--,---714,,,,,,,0,,,,,,,,,,,
759,--,---715,,,,,,,0,,,,,,,,,,,
760,--,---716,,,,,,,0,,,,,,,,,,,
761,--,---717,,,,,,,0,,,,,,,,,,,
762,--,---718,,,,,,,0,,,,,,,,,,,
763,--,---719,,,,,,,0,,,,,,,,,,,
764,--,---720,,,,,,,0,,,,,,,,,,,
765,--,---721,,,,,,,0,,,,,,,,,,,
766,--,---722,,,,,,,0,,,,,,,,,,,
767,--,---723,,,,,,,0,,,,,,,,,,,
768,--,---724,,,,,,,0,,,,,,,,,,,
769,--,---725,,,,,,,0,,,,,,,,,,,
770,--,---726,,,,,,,0,,,,,,,,,,,
771,--,---727,,,,,,,0,,,,,,,,,,,
772,--,---728,,,,,,,0,,,,,,,,,,,
773,--,---729,,,,,,,0,,,,,,,,,,,
774,--,---730,,,,,,,0,,,,,,,,,,,
775,--,---731,,,,,,,0,,,,,,,,,,,
776,--,---732,,,,,,,0,,,,,,,,,,,
777,--,---733,,,,,,,0,,,,,,,,,,,
778,--,---734,,,,,,,0,,,,,,,,,,,
779,--,---735,,,,,,,0,,,,,,,,,,,
780,--,---736,,,,,,,0,,,,,,,,,,,
781,--,---737,,,,,,,0,,,,,,,,,,,
782,--,---738,,,,,,,0,,,,,,,,,,,
783,--,---739,,,,,,,0,,,,,,,,,,,
784,--,---740,,,,,,,0,,,,,,,,,,,
785,--,---741,,,,,,,0,,,,,,,,,,,
786,--,---742,,,,,,,0,,,,,,,,,,,
787,--,---743,,,,,,,0,,,,,,,,,,,
788,--,---744,,,,,,,0,,,,,,,,,,,
789,--,---745,,,,,,,0,,,,,,,,,,,
790,--,---746,,,,,,,0,,,,,,,,,,,
791,--,---747,,,,,,,0,,,,,,,,,,,
792,--,---748,,,,,,,0,,,,,,,,,,,
793,--,---749,,,,,,,0,,,,,,,,,,,
794,--,---750,,,,,,,0,,,,,,,,,,,
795,--,---751,,,,,,,0,,,,,,,,,,,
796,--,---752,,,,,,,0,,,,,,,,,,,
797,--,---753,,,,,,,0,,,,,,,,,,,
798,--,---754,,,,,,,0,,,,,,,,,,,
799,--,---755,,,,,,,0,,,,,,,,,,,
800,--,---756,,,,,,,0,,,,,,,,,,,
801,--,---757,,,,,,,0,,,,,,,,,,,
802,--,---758,,,,,,,0,,,,,,,,,,,
803,--,---759,,,,,,,0,,,,,,,,,,,
804,--,---760,,,,,,,0,,,,,,,,,,,
805,--,---761,,,,,,,0,,,,,,,,,,,
806,--,---762,,,,,,,0,,,,,,,,,,,
807,--,---763,,,,,,,0,,,,,,,,,,,
808,--,---764,,,,,,,0,,,,,,,,,,,
809,--,---765,,,,,,,0,,,,,,,,,,,
810,--,---766,,,,,,,0,,,,,,,,,,,
811,--,---767,,,,,,,0,,,,,,,,,,,
812,--,---768,,,,,,,0,,,,,,,,,,,
813,--,---769,,,,,,,0,,,,,,,,,,,
814,--,---770,,,,,,,0,,,,,,,,,,,
815,--,---771,,,,,,,0,,,,,,,,,,,
816,--,---772,,,,,,,0,,,,,,,,,,,
817,--,---773,,,,,,,0,,,,,,,,,,,
818,--,---774,,,,,,,0,,,,,,,,,,,
819,--,---775,,,,,,,0,,,,,,,,,,,
820,--,---776,,,,,,,0,,,,,,,,,,,
821,--,---777,,,,,,,0,,,,,,,,,,,
822,--,---778,,,,,,,0,,,,,,,,,,,
823,--,---779,,,,,,,0,,,,,,,,,,,
824,--,---780,,,,,,,0,,,,,,,,,,,
825,--,---781,,,,,,,0,,,,,,,,,,,
826,--,---782,,,,,,,0,,,,,,,,,,,
827,--,---783,,,,,,,0,,,,,,,,,,,
828,--,---784,,,,,,,0,,,,,,,,,,,
829,--,---785,,,,,,,0,,,,,,,,,,,
